Name,Location,Founded,Employees,About,Skills,Link
Bristol Myers Squibb - Data Engineer,Job available in Hyderabad,Founded in 1887,More than 1000 employees,Bristol Myers Squibb is a global biopharmaceutical company committed to creating innovative medicines for millions of patients around the world fighting serious diseases in various therapeutic areas.,"Python
Amazon Redshift
AWS
AWS Glue
Data Analysis",https://www.instahyre.com/job-290624-data-engineer-at-bristol-myers-squibb-hyderabad/
Durianpay - Software Engineer,Job available in Bangalore,Founded in 2020,10 - 50 employees,"Durianpay is a Singapore-based online payment platform that offers one-stop solutions for frictionless checkout, easy-to-integrate modern APIs, and a single dashboard to manage payments and financial needs.","Python
Java
Node.js
Kafka
Golang",https://www.instahyre.com/job-290754-software-engineer-at-durianpay-2-bangalore/
eloelo - SDE 2 - Backend,Job available in Bangalore,Founded in 2020,50 - 200 employees,"eloelo is India's 1st vernacular-friendly lifestyle platform with influencer-driven content, community, and gamified rewards specializing in the world of beauty, fashion, wellness, lifestyle and entertainment.","Python
Golang
Java",https://www.instahyre.com/job-290750-sde-2-backend-at-eloelo-bangalore/
LightBeam.ai - QA Engineer,Job available in Bangalore,Founded in 2023,10 - 50 employees,"LightBeam is a technology company, leveraging AI/ML to develop solutions in the data security and privacy automation domain to empower organizations to manage, access and share their sensitive data securely.","Python
Selenium
Automation Testing
Kubernetes
API Testing",https://www.instahyre.com/job-290722-qa-engineer-at-lightbeam-bangalore/
Media.net - Lead Machine Learning Engineer,Job available in Bangalore,Founded in 2010,More than 1000 employees,Media.net is one of the world's leading ad-tech companies provides a wide range of advertising and traffic monetization solutions. It was acquired in 2016 by a Chinese consortium for $900 Million.,"Python
Machine Learning
Algorithms
Data Structures
Java",https://www.instahyre.com/job-290726-lead-machine-learning-engineer-at-media-bangalore/
Noodle.ai - Engineering Manager,Job available in Bangalore,Founded in 2016,200 - 500 employees,Noodle.ai is a Computer Software company that offers AI-based and data-driven solutions to businesses. It has specialities in Manufacturing and Supply Chain.,"Python
Django",https://www.instahyre.com/job-290768-engineering-manager-at-noodle-bangalore/
Patch Infotech - Python / Golang Developer,Job available in Bangalore,Founded in 2016,50 - 200 employees,"Patch Infotech is a leading software service and product-based company that caters to a range of business verticals by providing full-suite technology solutions across web, mobile, and backend products.","Python
Golang",https://www.instahyre.com/job-290616-python-golang-developer-at-patch-infotech-bangalore/
Paypal - ML Engineer,Job available in Bangalore,Founded in 1998,More than 1000 employees,"Paypal is a global payments company that supports online money transfers and serves as an electronic alternative to traditional paper methods like cheques & cash, through various product offerings.","Python
Computer Vision
Data Mining
Machine Learning
R
+3",https://www.instahyre.com/job-290597-ml-engineer-at-paypal-bangalore/
Persistent Systems - Computer Vision Engineer,Job available in Bangalore,Founded in 1990,More than 1000 employees,"Persistent Systems is an IT & Services company that has specialities in Outsourced Software Product Development, OPD, Software Product Engineering, etc. It is listed on BSE & NSE.","Python
Computer Vision
Android",https://www.instahyre.com/job-290763-computer-vision-engineer-at-persistent-systems-bangalore/
Recro - RPA Developer,Job available in Bangalore,Founded in 2014,200 - 500 employees,Recro is a developer-focused platform bridging the gap between talent and opportunity by seamlessly matching individual expertise with the right opportunities in high-growth organizations.,"Python
Robotic Process Automation
Automation Anywhere
UiPath",https://www.instahyre.com/job-290699-rpa-developer-at-recro-2-bangalore/
Salesforce - Lead Member of Technical Staff - LMTS,"Job available in Bangalore, Hyderabad",Founded in 1999,More than 1000 employees,Salesforce is an enterprise cloud computing company that provides business software on a subscription basis. Best known for its on-demand CRM solutions but offers various other products as well.,"Python
.NET
AWS
Algorithms
Amazon Redshift
Angular",https://www.instahyre.com/job-290777-lead-member-of-technical-staff-lmts-at-salesforce-bangalore-hyderabad/
SigTech - API - Fullstack Engineer,Job available in Bangalore,Founded in 2019,50 - 200 employees,"SigTech specializes in offering a future-proof quant trading platform to global investment managers that validates financial data and provides the tools to research, build, and deploy customized strategies.","Python
Unit Testing
AWS
Azure
CI - CD",https://www.instahyre.com/job-290637-api-fullstack-engineer-at-sigtech-bangalore/
University Living - Web Scraper,Job available in Noida,Founded in 2015,50 - 200 employees,University Living is a student housing marketplace that helps international students find accommodations near university campuses around the world and have assisted 2 Mn students across 1K universities so far.,"Python
Next.js
Data Extraction
Web Scraping",https://www.instahyre.com/job-290733-web-scraper-at-university-living-noida/
Veera - Data Analyst,Job available in Gurgaon,Founded in 2021,0 - 10 employees,"Veera is an internet search browser operator intended to reward and empower those browsing the internet, it features data protection, faster browsing, more control, and rewards while browsing.","Python
SQL",https://www.instahyre.com/job-290625-data-analyst-at-veera-gurgaon/
VTION Digital - ML Engineer,Job available in Gurgaon,Founded in 2016,10 - 50 employees,VTION is a digital consumer behaviour intelligence platform empowering advertisers and marketers with end-to-end data using a patent-granted technology in India and US that can extract media related data.,"Python
Computer Vision
TensorFlow
pandas
NumPy",https://www.instahyre.com/job-290640-ml-engineer-at-vtion-digital-gurgaon/
WeWork - Software Developer,Job available in Bangalore,Founded in 2010,More than 1000 employees,"WeWork is an American company that provides shared workspaces, technology startup subculture communities, and services for entrepreneurs, freelancers, startups, small businesses and large enterprises.","Python
DevOps
Docker
Kubernetes
AWS",https://www.instahyre.com/job-290560-software-developer-at-wework-bangalore/
Zopper - Backend Developer,Job available in Kolkata,Founded in 2011,500 - 1000 employees,"Zopper is a hyperlocal m-commerce app which allows ordering products from local stores. The company has raised $25 million in fuding from top investors like Tiger Global, and has offices in Noida and Bangalore. It has carved out a solid niche in the e-commerce space.","Python
Django
Flask
SQL
AWS",https://www.instahyre.com/job-290675-backend-developer-at-zopper-kolkata/
Akmazo Capital - QA Engineer,Job available in Work From Home,Founded in 2022,0 - 10 employees,"Akmazo Capital is an investment firm focused on building market-leading SaaS and recurring revenue businesses while accelerating growth, refining product positioning, and scaling technology platforms for them.","Python
Manual Testing
SDET
Ruby",https://www.instahyre.com/job-290767-qa-engineer-at-akmazo-capital-work-from-home/
Astuto - AI Engineer,Job available in Bangalore,Founded in 2023,10 - 50 employees,"Astuto is a software company building an AI-first cloud efficiency platform that helps businesses reduce costs, improve cloud operations, and accelerate delivery velocity through automation and control solutions.","Python
Computer Vision
Machine Learning
PyTorch
+2",https://www.instahyre.com/job-290618-ai-engineer-at-astuto-bangalore/
Avaamo - Data Analyst (Internship),Job available in Bangalore,Founded in 2014,50 - 200 employees,"Avaamo is a deep-learning software company that specializes in conversational interfaces to solve specific, high impact problems in the enterprise. It works in advanced NLU, Speech Design, Voice Based Assistant.","Python
JasperReports
Microsoft Excel
Power BI
QlikView
+4",https://www.instahyre.com/job-290713-data-analyst-internship-at-avaamo-bangalore/
Bristol Myers Squibb - Data Engineer,Job available in Hyderabad,Founded in 1887,More than 1000 employees,Captain Fresh is a Logistics and Supply Chain company for delivering seafood and meat to the Indian consumer. It is building the future of meat and seafood supply chain.,"Python
AWS
Ansible
CI - CD
Docker
Google Cloud
+3",https://www.instahyre.com/job-290624-data-engineer-at-bristol-myers-squibb-hyderabad/
CRED - Lead Or Principal Engineer Or Staff Engineer,Job available in Bangalore,Founded in 2018,200 - 500 employees,"CRED is a platform that enables CREDit card users to pay their bills and get rewarded by partner brands. Started by Kunal Shah, who had previously founded Freecharge and sold it to Snapdeal.","Python
Big Data
Spark
AWS
Data Modelling",https://www.instahyre.com/job-290480-lead-or-principal-engineer-or-staff-engineer-at-cred-bangalore/
eClerx - Spark and Scala Developer,Job available in Mumbai,Founded in 2000,More than 1000 employees,"eClerx is an IT & Services company that provides services related to management and data analytics for business operations. It specializes in CRM, MDM, eCommerce Operations, Web Analytics, etc.","Python
Spark
Scala",https://www.instahyre.com/job-290468-spark-and-scala-developer-at-eclerx-mumbai/
Ecosystem - Python Fullstack Developer,"Job available in Bangalore, Chennai, Pune",Founded in 2020,0 - 10 employees,"Ecosystem is a Netherlands-based IT firm that provides managed hosting services, governance and risk management, testing, and other services, to help businesses achieve operational sustainability and excellence.","Python
JavaScript
Django
React.js
Vue.js",https://www.instahyre.com/job-290519-python-fullstack-developer-at-ecosystem-bangalore-chennai-pune/
Esper - Sr. SRE,Job available in Bangalore,Founded in 2017,50 - 200 employees,"Esper is a cloud-based android device deployment and application management platform that helps organizations remotely scale and manage their critical edge devices such as ATMs, kiosks, POS, wearables, etc.","Python
AWS
Terraform
Grafana
Prometheus",https://www.instahyre.com/job-290446-sr-sre-at-esper-bangalore/
Flipkart - Software Development Engineer II,Job available in Bangalore,Founded in 2007,More than 1000 employees,"India's leading e-commerce company. Founded in 2007 by IIT graduates, Flipkart is currently valued at over $15 billion and has raised over $3 billion in funding. Acquired fashion site Myntra in 2014.","Python
C
C++
Golang
Java
Hibernate
J2EE
Spring",https://www.instahyre.com/job-290484-software-development-engineer-ii-at-flipkart-bangalore/
Grey Chain - QA (Selenium + Python),Job available in Delhi,Founded in 2016,50 - 200 employees,Grey Chain Technology is an app development and UI/UX consulting firm with a core focus on building tech-enabled products and providing digital transformation solutions to businesses and startups.,"Python
Automation Testing
Manual Testing
SDET
Selenium",https://www.instahyre.com/job-290554-qa-selenium-python-at-grey-chain-delhi/
Guardians Infotech - Data Engineer,Job available in Mumbai,Founded in 2020,200 - 500 employees,"Guardians Infotech is an IT services and business transformation consultant that offers solutions for cloud advisory, engineering transformation, and post-transformation innovation to SMEs and large enterprises.","Python
Machine Learning",https://www.instahyre.com/job-290423-data-engineer-at-guardians-infotech-mumbai/
Keychain - Engineering Manager,Job available in Gurgaon,Founded in 2023,0 - 10 employees,"Atlas Technology is a startup that is building a B2B marketplace platform for companies in the manufacturing industry, it aims to connect industries to technology, founders are from ANGI.","Python
Golang
Java
JavaScript
Scala
Hibernate
J2EE",https://www.instahyre.com/job-290491-engineering-manager-at-keychain-gurgaon/
NeoSOFT Technologies - Python Developer,Job available in Mumbai,Founded in 1996,More than 1000 employees,"NeoSOFT is a global IT consulting & software solutions provider specializing in Software Development Services, Mobile Application Development Services, Web Hosting Services, Web Development Services, etc.","Python
Django
Flask
AWS
HTML",https://www.instahyre.com/job-290559-python-developer-at-neosoft-technologies-mumbai/
Northern Arc Capital - AVP - Python,Job available in Bangalore,Founded in 2008,,"Python
Flask
Data Structures
Algorithms
AWS","Python
Django
Flask
AWS
HTML",https://www.instahyre.com/job-290430-avp-python-at-northern-arc-capital-bangalore/
Northern Arc Capital - Technical Manager,Job available in Bangalore,Founded in 2008,,"Python
Java
Algorithms
Data Structures
+1","Python
Django
Flask
AWS
HTML",https://www.instahyre.com/job-290428-technical-manager-at-northern-arc-capital-bangalore/
Omnivio - Data Engineer,Job available in Work From Home,Founded in 2021,10 - 50 employees,Omnivio is a logistics and supply-chain company assisting retailers and brands by building a control towers led omni-operations marketplace providing real-time visibility and monitoring for modern enterprises.,"Python
BigQuery
Data Extraction
ETL
SQL",https://www.instahyre.com/job-290426-data-engineer-at-omnivio-work-from-home/
Provakil - Software Architect,Job available in Pune,Founded in 2015,10 - 50 employees,"Provakil is a legal services company that provides services related to building software for legal services, specializing in intellectual property management, litigation management, etc.","Python
Node.js",https://www.instahyre.com/job-290488-software-architect-at-provakil-pune/
Quantsapp - Python Developer,Job available in Mumbai,Founded in 2017,0 - 10 employees,Quantsapp is an IT & Services organization that provides services related to options trading and analytics platform equipping traders with algorithms to simplify option strategies.,Python,https://www.instahyre.com/job-290464-python-developer-at-quantsapp-mumbai/
R Systems International - Embedded Engineer,Job available in Pune,Founded in 1993,More than 1000 employees,"R Systems is an specialized IT Services & Solutions provider of Deep Analytics, Robotic Process Automation, QA & Testing, App Development, KPO/BPO, Supply Chain Solutions & Mobile Broadband Management.","Python
RTOS
UART
AUTOSAR
C++",https://www.instahyre.com/job-290550-embedded-engineer-at-r-systems-international-pune/
TAO (The Automation Office) - Python Developer,Job available in Bangalore,Founded in 2016,10 - 50 employees,TAO is an end-to-end automation solutions consulting partner specialized in developing automation strategy from basic RPA to advanced cognitive and machine learning solutions.,"Python
Django
Flask
HTML
SQL",https://www.instahyre.com/job-290500-python-developer-at-tao-the-automation-office-bangalore/
Abnormal Security - Software Engineer - Fullstack,Job available in Bangalore,Founded in 2018,500 - 1000 employees,"Abnormal Security is a technology company that delivers inbound email security, account takeover protection, and full SOC automation to detect and protects against cyber attacks like phishing, malware, etc.","Python
Golang
Django",https://www.instahyre.com/job-290531-software-engineer-fullstack-at-abnormal-security-bangalore/
Apna Mart - Product Analyst,Job available in Bangalore,Founded in 2021,10 - 50 employees,"Apna Mart is redefining the grocery shopping experience in tier2+ cities by building a scalable, asset lights chains of neighborhood supermarts while focussing on competitive pricing and varied assortment.","Python
Business Analysis
Data Visualization
SAS
Tableau",https://www.instahyre.com/job-290528-product-analyst-at-apna-mart-bangalore/
Gigmos - Python / Full Stack Developer,Job available in Gurgaon,Founded in 2018,50 - 200 employees,"Gigmos is an IT services company that offers AI-enabled technical customer support services to businesses, helping them reduce support costs by smart outsourcing of their workforce on the Gigmos platform.","Python
Django
Flask",https://www.instahyre.com/job-290359-python-full-stack-developer-at-gigmos-gurgaon/
Healthi - Tech Lead,Job available in Bangalore,Founded in 2014,10 - 50 employees,healthi is a provider of preventive health checkup plans for individuals and corporate at various diagnostic centers. Has partnered with 160+ centers in 40+ cities across India. Web platform has various features for users and health professionals.,"Python
Java
JavaScript
Ruby
React.js",https://www.instahyre.com/job-290266-tech-lead-at-healthi-bangalore/
Hevo Data - Software Development Engineer - III,Job available in Bangalore,Founded in 2017,200 - 500 employees,"Based in San Francisco, Hevo is a data integration platform that helps companies in moving data from one source to another. Connects to the source and using the transformation code transfers data to the warehouse.","Python
Distributed Systems
Java
Kafka",https://www.instahyre.com/job-290414-software-development-engineer-iii-at-hevo-data-bangalore/
LightBeam.ai - Senior Software Engineer,Job available in Bangalore,Founded in 2023,10 - 50 employees,"LightBeam is a technology company, leveraging AI/ML to develop solutions in the data security and privacy automation domain to empower organizations to manage, access and share their sensitive data securely.","Python
Golang
IT Infrastructure
MongoDB
Kafka",https://www.instahyre.com/job-290363-senior-software-engineer-at-lightbeam-bangalore/
nference - Jr. Python Developer,Job available in Bangalore,Founded in 2013,200 - 500 employees,nference is an AI-powered firm that partners with medical centers to turn electronic medical records into software solutions while making biomedical knowledge computable for solving healthcare problems.,"Python
Django
Data Structures
Algorithms",https://www.instahyre.com/job-290276-jr-python-developer-at-nference-2-bangalore/
Pangea Tech - Business Analyst,Job available in Bangalore,Founded in 2020,10 - 50 employees,"Pangea is a product company empowering businesses with data-backed AI products and services like engineering analytics, supply chain analytics, tech launch, and more to help accelerate business excellence.","Python
Microsoft Excel
Power BI
R
SQL
Tableau",https://www.instahyre.com/job-290362-business-analyst-at-pangea-tech-bangalore/
Probo - SDE - 2 / 3,Job available in Gurgaon,Founded in 2019,50 - 200 employees,"Probo is a future event-based opinion trading platform that allows users to select a fact-based event, predict simple yes or no based outcomes, and earn on every correct guess. Founded by IIM alumni.","Python
Java
Node.js
JavaScript
Golang",https://www.instahyre.com/job-290294-sde-2-3-at-probo-gurgaon/
Recro - Automation Engineer,Job available in Bangalore,Founded in 2014,200 - 500 employees,Recro is a developer-focused platform bridging the gap between talent and opportunity by seamlessly matching individual expertise with the right opportunities in high-growth organizations.,"Python
Robotic Process Automation
Automation Testing
Node.js",https://www.instahyre.com/job-290283-automation-engineer-at-recro-2-bangalore/
Recro - RPA Developer,Job available in Bangalore,Founded in 2014,200 - 500 employees,Recro is a developer-focused platform bridging the gap between talent and opportunity by seamlessly matching individual expertise with the right opportunities in high-growth organizations.,"Python
Automation Anywhere
Robotic Process Automation
+1",https://www.instahyre.com/job-290306-rpa-developer-at-recro-2-bangalore/
RingCentral - Senior Full - Stack Developer,Job available in Bangalore,Founded in 2003,More than 1000 employees,"RingCentral is a global provider of cloud-based unified communications and collaboration products and solutions for enterprises allowing its members to be connected. Customers include Lyft, Coursera, etc.","Python
Java
JavaScript
Angular
J2EE
jQuery
Node.js
+1",https://www.instahyre.com/job-290372-senior-full-stack-developer-at-ringcentral-bangalore/
SambaNova Systems - Principal Platform Software Engineer,Job available in Bangalore,Founded in 2017,200 - 500 employees,SambaNova Systems is a technology-enabled organization that builds AI hardware and integrated systems to help a range of business segments run AI applications and unlock valuable business insights.,"Python
Kubernetes
Linux
AWS
CI - CD",https://www.instahyre.com/job-290353-principal-platform-software-engineer-at-sambanova-systems-bangalore/
Sourcewiz - Senior Software Engineer,Job available in Bangalore,Founded in 2021,10 - 50 employees,"Sourcewiz is a vertical sales software provider that helps exporters to market unique creations to buyers, generate inquiries, and increase their sales conversion by creating custom product catalogs in minutes.","Python
Django
Data Structures
Algorithms",https://www.instahyre.com/job-290346-senior-software-engineer-at-sourcewiz-bangalore/
Thriving Springs - Senior Data Science Engineer,Job available in Hyderabad,Founded in 2022,10 - 50 employees,Thriving Springs is an IT company developing an AI and ML powered employee learning and engagement suite to bridge the gap in employee development by implementing emotional intelligence in daily workflows.,"Python
Computer Vision
Data Mining
Java
Machine Learning",https://www.instahyre.com/job-290300-senior-data-science-engineer-at-thriving-springs-hyderabad/
Tripadvisor - Infrastructure Engineer - Techops,Job available in Work From Home,Founded in 2000,More than 1000 employees,"Tripadvisor is a free travel guide and forum that lets travelers explore, discover, and plan trips based on user-generated content and reviews of hotels, restaurants, tourist destinations, activities, etc.","Python
Kubernetes
CI - CD
DevOps
Bash",https://www.instahyre.com/job-290257-infrastructure-engineer-techops-at-tripadvisor-work-from-home/
Upraised - Backend Engineer,Job available in Bangalore,Founded in 2019,10 - 50 employees,Upraised is an ed-tech that startup that focuses on upskilling high potential students and professionals to be world-class product managers through its career-oriented platform and learning programs.,"Python
Golang
Node.js
Django",https://www.instahyre.com/job-290384-backend-engineer-at-upraised-bangalore/
Wingify - Senior Backend Developer,Job available in Work From Home,Founded in 2009,50 - 200 employees,"Wingify makes Visual Website Optimizer, a tool that helps websites increase sales and conversions on their websites. Used by 3500+ companies like Microsoft, Disney, etc. Bootstrapped and doing $10 million in revenue. Now working on several new products!","Python
PHP
Node.js
Java
AWS",https://www.instahyre.com/job-290310-senior-backend-developer-at-wingify-work-from-home/
Wipro - Automation Testing With Python,Job available in Bangalore,Founded in 1945,More than 1000 employees,"Wipro is a leading global information technology, consulting and business process services company. Founded in 1945 it has over 160,000 employees serving clients across six continents leverage technology solutions.","Python
Automation Testing
Automotive Infotainment
+1",https://www.instahyre.com/job-290389-automation-testing-with-python-at-wipro-bangalore/
Zolt - Founding Engineer,"Job available in Bangalore, Mumbai, Work From Home",Founded in 2023,0 - 10 employees,"Zolt, backed by Tier A investors, is an accounting company helping start-ups build a strong financial foundation by digitizing, automating, and simplifying their workflow and offering a multitude of other services.","Python
Golang
Java
JavaScript
PHP
Ruby",https://www.instahyre.com/job-290327-founding-engineer-at-zolt-bangalore-mumbai-work-from-home/
Big Oh Tech - Data Scientist,Job available in Delhi,Founded in 2021,50 - 200 employees,"Big Oh Tech is an IT solutions company that offers services for cloud migration, testing, software development, enterprise app development, big data and analytics, AI/ ML, and AR/VR to its clients.","Python
Data Mining
Machine Learning
NLP
R",https://www.instahyre.com/job-290407-data-scientist-at-big-oh-tech-delhi/
Bristol Myers Squibb - Demand Planning - Business Analyst II,Job available in Hyderabad,Founded in 1887,More than 1000 employees,"Founded in 1982 and headquartered in San Jose, California, Adobe has historically focused upon the creation of multimedia and creativity software products, with a more recent foray towards rich Internet application software development.","Python
Computer Vision
Machine Learning
NLP
PyTorch
+1",https://www.instahyre.com/job-290371-demand-planning-business-analyst-ii-at-bristol-myers-squibb-hyderabad/
ANSR - Senior Developer - Data Engineering / Science,Job available in Bangalore,Founded in 2003,50 - 200 employees,"ANSR is a Dallas-based consulting company that specializes in providing products and services for talent management and acquisition, strategic consulting, transition toolkits, and innovation.","Python
Databricks
Machine Learning
R
Statistical Modelling",https://www.instahyre.com/job-290092-senior-developer-data-engineering-science-at-ansr-3-bangalore/
